"";".id";"Nombre.de.la.instalacion";"Municipio.de.la.instalacion";"Provincia.de.la.instalacion";"Clave.del.registro";"Codigo.registro.autonomico.definitivo";"Potencia.nominal.de.la.fase..kW.";"Grupo.Normativo";"Tipo.de.Inscripcion"
"1614";"NULL";"ANGEL DE LA ROSA SUAREZ";"Alcobendas";"MADRID";"RE-106418";"RE/0045/2011";"20,000";"b.1.1";"Inscripción definitiva"
"1615";"NULL";"BRICO DEPOT GETAFE";"Getafe";"MADRID";"RE-106419";"RE/0048/2010";"10,000";"b.1.1";"Inscripción definitiva"
"1616";"NULL";"CENTRO ATENCION ANIMAL";"Rozas de Madrid (Las)";"MADRID";"RE-106420";"RE/0052/2011";"15,000";"b.1.1";"Inscripción definitiva"
"1617";"NULL";"STAMPROF";"Alcorcón";"MADRID";"RE-106421";"RE/0075/2010";"9,900";"b.1.1";"Inscripción definitiva"
"1618";"NULL";"JESUS DOMINGUEZ ORTIZ";"Humanes de Madrid";"MADRID";"RE-106422";"RE/0140/2009";"20,000";"b.1.1";"Inscripción definitiva"
"1619";"NULL";"POLIDEPORTIVO VIRGEN DEL RETAMAR";"Rozas de Madrid (Las)";"MADRID";"RE-106423";"RE/0051/2011";"15,000";"b.1.1";"Inscripción definitiva"
"1620";"NULL";"ECL - FV - RIVAS";"Rivas-Vaciamadrid";"MADRID";"RE-106606";"RE/0050/2011";"5,000";"b.1.1";"Inscripción definitiva"
"1621";"NULL";"GRUPOTEC FUENLABRADA";"Fuenlabrada";"MADRID";"RE-106607";"RE/0138/2009";"95,000";"b.1.1";"Inscripción definitiva"
"1622";"NULL";"MADINTER TRADE";"Colmenar Viejo";"MADRID";"RE-106997";"RE/0071/2011";"80,000";"b.1.1";"Inscripción definitiva"
"1623";"NULL";"POLlDEPORTIVO PERALES DE TAJUNA";"Perales de Tajuña";"MADRID";"RE-106998";"RE/0070/2011";"39,900";"b.1.1";"Inscripción definitiva"
"1624";"NULL";"TEJADO SOLAR ARTICA XXI, SL";"Alcalá de Henares";"MADRID";"RE-106999";"RE/0068/2009";"377,000";"b.1.1";"Inscripción definitiva"
"1625";"NULL";"ENERGIAS ALTERNATIVAS SOLARIG";"Arroyomolinos";"MADRID";"RE-107076";"RE/0048/2009";"700,000";"b.1.1";"Inscripción definitiva"
"1626";"NULL";"ENERGIAS ALTERNATIVAS SOLARIG";"Mejorada del Campo";"MADRID";"RE-107077";"RE/0074/2009";"975,000";"b.1.1";"Inscripción definitiva"
"1627";"NULL";"NESA I";"Casarrubuelos";"MADRID";"RE-107078";"RE/0142/2009";"500,000";"b.1.1";"Inscripción definitiva"
"1628";"NULL";"SOLAR ERMAYTEL";"Madrid";"MADRID";"RE-107079";"RE/0156/2009";"7,000";"b.1.1";"Inscripción definitiva"
"1629";"NULL";"PARACUELLOS I";"Paracuellos de Jarama";"MADRID";"RE-107087";"RE/0065/2011";"98,000";"b.1.1";"Inscripción definitiva"
"1630";"NULL";"SEDE ORTIZ 2.50";"Madrid";"MADRID";"RE-107088";"RE/0064/2011";"12,500";"b.1.1";"Inscripción definitiva"
"1631";"NULL";"FOTOVOLTAICA COLLADO";"Colmenar Viejo";"MADRID";"RE-107089";"RE/0063/2011";"10,000";"b.1.1";"Inscripción definitiva"
"1632";"NULL";"PROEJE RENOVABLES I";"Colmenar Viejo";"MADRID";"RE-107090";"RE/0023/2011";"70,000";"b.1.1";"Inscripción definitiva"
"1633";"NULL";"CENTRO POLIFUNCIONAL";"Cervera de Buitrago";"MADRID";"RE-107091";"RE/0033/2010";"5,000";"b.1.1";"Inscripción definitiva"
"1634";"NULL";"C.P. PRÍNCIPE DE ASTURIAS";"Quijorna";"MADRID";"RE-107222";"RE/0267/2008";"5,000";"b.1.1.I.1";"Inscripción definitiva"
"1635";"NULL";"CSPV-2 RIVAS VACIAMADRID MANUEL AZAÑA";"Rivas-Vaciamadrid";"MADRID";"RE-107223";"RE/0031/2011";"20,000";"b.1.1.I.1";"Inscripción definitiva"
"1636";"NULL";"CSPV-1 RIVAS VACIAMADRID FRIDA KAHLO";"Rivas-Vaciamadrid";"MADRID";"RE-107224";"RE/0032/2011";"60,000";"b.1.1.I.2";"Inscripción definitiva"
"1637";"NULL";"CSPV-3 RIVAS VACIAMADRID MARÍA ZAMBRANO";"Rivas-Vaciamadrid";"MADRID";"RE-107225";"RE/0033/2011";"50,000";"b.1.1.I.2";"Inscripción definitiva"
"1638";"NULL";"DAVID CORDERO-PLATINO";"Colmenar Viejo";"MADRID";"RE-107226";"RE/0069/2011";"39,900";"b.1.1.I.2";"Inscripción definitiva"
"1639";"NULL";"PUERTAS SANRAFAEL, S.A.";"Alcorcón";"MADRID";"RE-107227";"RE/0068/2011";"90,000";"b.1.1.I.2";"Inscripción definitiva"
"1640";"NULL";"ISMAEL LEÓN";"Nuevo Baztán";"MADRID";"RE-107395";"RE/0016/2010";"10,000";"b.1.1.I.1";"Inscripción definitiva"
"1641";"NULL";"GABRIEL RAMOS-MOLINO";"Cenicientos";"MADRID";"RE-107396";"RE/0072/2011";"7,500";"b.1.1.I.1";"Inscripción definitiva"
"1642";"NULL";"MIGUEL JIMÉNEZ-MOLINO";"Cenicientos";"MADRID";"RE-107397";"RE/0073/2011";"7,500";"b.1.1.I.1";"Inscripción definitiva"
"1643";"NULL";"ALEJANDRO GARCÍA-ESCALONA";"Cenicientos";"MADRID";"RE-107398";"RE/0074/2011";"4,600";"b.1.1.I.1";"Inscripción definitiva"
"1644";"NULL";"IMPRESORES I";"Getafe";"MADRID";"RE-107399";"RE/0090/2011";"20,000";"b.1.1.I.1";"Inscripción definitiva"
"1645";"NULL";"IMPRESORES II";"Getafe";"MADRID";"RE-107400";"RE/0089/2011";"20,000";"b.1.1.I.1";"Inscripción definitiva"
"1646";"NULL";"IMPRESORES III";"Getafe";"MADRID";"RE-107401";"RE/0087/2011";"20,000";"b.1.1.I.1";"Inscripción definitiva"
"1647";"NULL";"IMPRESORES IV";"Getafe";"MADRID";"RE-107402";"RE/0088/2011";"20,000";"b.1.1.I.1";"Inscripción definitiva"
"1648";"NULL";"BRICOR XANADÚ";"Arroyomolinos";"MADRID";"RE-107403";"RE/0132/2009";"25,000";"b.1.1.I.1";"Inscripción definitiva"
"1649";"NULL";"GONZÁLEZ MORENO";"Cadalso de los Vidrios";"MADRID";"RE-107765";"RE/0069/2010";"20,000";"b.1.1.I.1";"Inscripción definitiva"
"1650";"NULL";"FERAMADA";"Leganés";"MADRID";"RE-107766";"RE/0143/2009";"79,800";"b.1.1.I.2";"Inscripción definitiva"
"1651";"NULL";"INST. FOTOVOLTAICA MECO";"Meco";"MADRID";"RE-107767";"RE/0095/2011";"2000,000";"b.1.1.I.2";"Inscripción definitiva"
"1652";"NULL";"LA ATALAYA";"Pinto";"MADRID";"RE-107768";"RE/0056/2009";"1400,000";"b.1.1.I.2";"Inscripción definitiva"
"1653";"NULL";"CALLE VALENCIA 4";"Madrid";"MADRID";"RE-107769";"RE/0372/2007";"2,500";"b.1.1.I.1";"Inscripción definitiva"
"1654";"NULL";"MPCR-RIVAS";"Rivas-Vaciamadrid";"MADRID";"RE-108104";"RE/0097/2011";"10,000";"b.1.1.I.1";"Inscripción definitiva"
"1655";"NULL";"CUZCO ALGETE";"Algete";"MADRID";"RE-108105";"RE/0098/2011";"96,000";"b.1.1.I.2";"Inscripción definitiva"
"1656";"NULL";"PROEJE RENOVABLES III";"Colmenar Viejo";"MADRID";"RE-108106";"RE/0099/2011";"70,000";"b.1.1.I.2";"Inscripción definitiva"
