"";".id";"Nombre.de.la.instalacion";"Municipio.de.la.instalacion";"Provincia.de.la.instalacion";"Clave.del.registro";"Codigo.registro.autonomico.definitivo";"Potencia.nominal.de.la.fase..kW.";"Grupo.Normativo";"Tipo.de.Inscripcion"
"477";"NULL";"JUAN RAMON LOZANO ROJO";"Paracuellos de Jarama";"MADRID";"RE436-0160";"RED-071/04/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"478";"NULL";"CENTRAL ANDUJAR MARTIN";"Quijorna";"MADRID";"RE436-0161";"RED-066/04/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"479";"NULL";"BAYVEL CONSULTORES, S.L.";"Madrid";"MADRID";"RE-004666";"RED-063/04/b.1.1";"1,800";"b.1.1";"Inscripción definitiva"
"480";"NULL";"LUIS GORDO PALACIOS";"Escorial (El)";"MADRID";"RE-004667";"RE/0372/2006";"1,800";"b.1.1";"Inscripción definitiva"
"481";"NULL";"CENTRO CIVICO EL PARQUE - AYTO. TORREJON DE ARDOZ";"Torrejón de Ardoz";"MADRID";"RE436-0162";"RED-082/04/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"482";"NULL";"CENTRO PULIFUNCIONAL LAS FRONTERAS";"Torrejón de Ardoz";"MADRID";"RE436-0163";"RED-081/04/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"483";"NULL";"PISCINA DE OLAS - AYTO. TOREJON DE ARDOZ";"Torrejón de Ardoz";"MADRID";"RE436-0164";"RED-080/04/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"484";"NULL";"CAMPO DE FUTBOL - AYTO. VILLAMANTILLA";"Villamantilla";"MADRID";"RE436-0165";"RED-067/04/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"485";"NULL";"MARIA DOLORES GOMEZ SOTELO";"Villanueva de Perales";"MADRID";"RE436-0167";"RED-074/04/b.1.1";"2,400";"b.1.1";"Inscripción definitiva"
"486";"NULL";"PEDRO ANTONIO SANCHEZ GARCIA";"Soto del Real";"MADRID";"RE-004669";"RED-062/04/b.1.1";"2,400";"b.1.1";"Inscripción definitiva"
"487";"NULL";"GRAFICAS LETRA, SA";"Leganés";"MADRID";"RE-006456";"RED-078/05/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"488";"NULL";"ENERTRON";"Torres de la Alameda";"MADRID";"RE436-0368";"";"20,000";"b.1.1";"Inscripción previa"
"489";"NULL";"RAUL ALBURQUERQUE JIMENEZ";"Cenicientos";"MADRID";"RE-006827";"RED-084/05/b.1.1";"10,000";"b.1.1";"Inscripción definitiva"
"490";"NULL";"ISABEL JIMENEZ CASTRO";"Cenicientos";"MADRID";"RE436-0370";"";"5,000";"b.1.1";"Inscripción previa"
"491";"NULL";"ALEJANDRO GARCIA ALBURQUERQUE";"Cenicientos";"MADRID";"RE436-0371";"RED-110/04/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"492";"NULL";"CARLOS GARCIA JIMENEZ";"Cenicientos";"MADRID";"RE436-0372";"";"10,000";"b.1.1";"Inscripción previa"
"493";"NULL";"Mª LUISA VEDIA VEDIA";"Cenicientos";"MADRID";"RE-006892";"RED-117/05/b.1.1";"15,000";"b.1.1";"Inscripción definitiva"
"494";"NULL";"EMVIALSA";"Alcobendas";"MADRID";"RE-006457";"RED-060/05/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"495";"NULL";"PAULINO RAMOS PARRO";"Cenicientos";"MADRID";"RE-006889";"RED-116/05/b.1.1";"15,000";"b.1.1";"Inscripción definitiva"
"496";"NULL";"JAVIER JIMENEZ CASTRO";"San Martín de Valdeiglesias";"MADRID";"RE-006458";"RED-068/05/b.1.1";"42,500";"b.1.1";"Inscripción definitiva"
"497";"NULL";"MOTOR DIPER, S.L.";"Villanueva de la Cañada";"MADRID";"RE436-0377";"RED-090/04/b.1.1";"6,600";"b.1.1";"Inscripción definitiva"
"498";"NULL";"CENTRO CIVICO MIGUEL DE UNAMUNO";"San Sebastián de los Reyes";"MADRID";"RE-004715";"RED-102/04/b.1.1";"14,700";"b.1.1";"Inscripción definitiva"
"499";"NULL";"INMOBILIARIA XIFRÉ, S.A.";"Rivas-Vaciamadrid";"MADRID";"RE436-0378";"";"30,000";"b.1.1";"Inscripción previa"
"500";"NULL";"JOSE MANUEL COBO FERNANDEZ";"Pinilla del Valle";"MADRID";"RE-006460";"REP-085/04/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"501";"NULL";"JAVIER MONZÓN IZQUIERDO";"Alpedrete";"MADRID";"RE436-0380";"";"5,000";"b.1.1";"Inscripción previa"
"502";"NULL";"JAIME BOTEY FULLAT";"Ambite";"MADRID";"RE436-0381";"";"30,000";"b.1.1";"Inscripción previa"
"503";"NULL";"FUNDACION ASISTENCIA AL AUTISTA";"Rozas de Madrid (Las)";"MADRID";"RE436-0382";"RED-126/04/b.1.1";"60,000";"b.1.1";"Inscripción definitiva"
"504";"NULL";"SFCR CIUDALCAMPO";"San Sebastián de los Reyes";"MADRID";"RE436-0383";"";"5,000";"b.1.1";"Inscripción previa"
"505";"NULL";"DOLORES JIMENEZ LIZANA";"Cenicientos";"MADRID";"RE-006828";"RED-091/05/b.1.1";"15,000";"b.1.1";"Inscripción definitiva"
"506";"NULL";"JOSE Mª CAÑADAS BENADERO";"San Sebastián de los Reyes";"MADRID";"RE436-0385";"";"30,000";"b.1.1";"Inscripción previa"
"507";"NULL";"FRIMAN INSTALACIONES, S.L.";"Collado Villalba";"MADRID";"RE436-0386";"";"30,000";"b.1.1";"Inscripción previa"
"508";"NULL";"JUAN SUSACH CAMPALANS";"Alpedrete";"MADRID";"RE436-0387";"";"5,000";"b.1.1";"Inscripción previa"
"509";"NULL";"JUAN CARLOS AZABAL ARROYO";"Galapagar";"MADRID";"RE436-0388";"RED-113/04/b.1.1";"4,400";"b.1.1";"Inscripción definitiva"
"510";"NULL";"RUBECOGAR, S.L.";"Vellón (El)";"MADRID";"RE436-0389";"";"15,000";"b.1.1";"Inscripción previa"
"511";"NULL";"COMUNIDAD VECINOS EL PARDO";"Madrid";"MADRID";"RE436-0390";"";"5,000";"b.1.1";"Inscripción previa"
"512";"NULL";"JUANA ZURDO BURGUILLO";"Cenicientos";"MADRID";"RE436-0391";"RED-111/04/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"513";"NULL";"CONCEPCION SANZ GARCIA";"Alcalá de Henares";"MADRID";"RE436-0392";"";"5,000";"b.1.1";"Inscripción previa"
"514";"NULL";"JOSE VICENTE LORENZO JIMENEZ (ampliación RE-3999)";"Cenicientos";"MADRID";"RE436-0393";"";"10,000";"b.1.1";"Inscripción previa"
"515";"NULL";"Mª DEL CARMEN GARCIA CORTÉS (ampliación RE-4399)";"Cenicientos";"MADRID";"RE436-0394";"";"5,000";"b.1.1";"Inscripción previa"
"516";"NULL";"JOSE JAVIER PUNZANO PICO (ampliación RE-3284)";"Cenicientos";"MADRID";"RE436-0395";"";"5,000";"b.1.1";"Inscripción previa"
"517";"NULL";"AMANCIO ALBURQUERQUE AMPUERO (ampliación RE-4392)";"Cenicientos";"MADRID";"RE436-0396";"";"10,000";"b.1.1";"Inscripción previa"
"518";"NULL";"SILVIA BRUNO DE LA CRUZ";"Ambite";"MADRID";"RE436-0397";"";"30,000";"b.1.1";"Inscripción previa"
"519";"NULL";"BLOSOM 2002, S.L.";"Móstoles";"MADRID";"RE436-0398";"";"30,000";"b.1.1";"Inscripción previa"
"520";"NULL";"UMIL, S.L.";"Madrid";"MADRID";"RE436-0399";"";"4,400";"b.1.1";"Inscripción previa"
"521";"NULL";"COLEGIO SAN PATRICIO";"Alcobendas";"MADRID";"RE436-0400";"";"4,400";"b.1.1";"Inscripción previa"
"522";"NULL";"AREA MONTELLANO, S.L.";"Becerril de la Sierra";"MADRID";"RE436-0401";"";"4,400";"b.1.1";"Inscripción previa"
"523";"NULL";"NURIA MARTIN ELVIRA";"Ambite";"MADRID";"RE436-0402";"";"30,000";"b.1.1";"Inscripción previa"
"524";"NULL";"JOAQUIN BOTEY FULLAT";"Ambite";"MADRID";"RE436-0403";"";"30,000";"b.1.1";"Inscripción previa"
"525";"NULL";"Mª ROSER BOTEY FULLAT";"Ambite";"MADRID";"RE436-0404";"";"30,000";"b.1.1";"Inscripción previa"
"526";"NULL";"FRANS KUIJPER";"Ambite";"MADRID";"RE436-0405";"";"30,000";"b.1.1";"Inscripción previa"
"527";"NULL";"DAVID ALHAMBRA GARCÍA";"Ambite";"MADRID";"RE436-0406";"";"30,000";"b.1.1";"Inscripción previa"
"528";"NULL";"JOSE BOTEY FULLAT";"Ambite";"MADRID";"RE436-0407";"";"30,000";"b.1.1";"Inscripción previa"
"529";"NULL";"E.SERVICIO PECES E HIJOS (ampliación RE-4100)";"Manzanares el Real";"MADRID";"RE436-0408";"";"5,000";"b.1.1";"Inscripción previa"
"530";"NULL";"SOLENER, S.L.";"Madrid";"MADRID";"RE436-0409";"";"5,000";"b.1.1";"Inscripción previa"
"531";"NULL";"OSCAR MARTIN ALBURQUERQUE";"Cenicientos";"MADRID";"RE436-0410";"";"15,000";"b.1.1";"Inscripción previa"
"532";"NULL";"FAUSTINO GOMEZ TOLEDANO";"Pozuelo de Alarcón";"MADRID";"RE-006459";"RED-062/05/b.1.1";"1,700";"b.1.1";"Inscripción definitiva"
"533";"NULL";"EURO WINDOW´S NAVAS, S.L.";"Navas del Rey";"MADRID";"RE436-0412";"";"5,000";"b.1.1";"Inscripción previa"
"534";"NULL";"TORRE GARENA";"Alcalá de Henares";"MADRID";"RE-007301";"RE/0672/2006";"61,200";"b.1.1";"Inscripción definitiva"
"535";"NULL";"JABALUNO, S.L.";"Santos de la Humosa (Los)";"MADRID";"RE-007089";"RED-131/05/b.1.1";"30,000";"b.1.1";"Inscripción definitiva"
"536";"NULL";"E.S.FUENTELAREINA, S.A.";"Aranjuez";"MADRID";"RE436-0415";"";"5,000";"b.1.1";"Inscripción previa"
"537";"NULL";"E.S.FUENTELAREINA, S.A. (ampliación RE-4113)";"Aranjuez";"MADRID";"RE436-0416";"";"5,000";"b.1.1";"Inscripción previa"
"538";"NULL";"INDIFONSA (ampliación de RE-4419)";"Aranjuez";"MADRID";"RE436-0417";"";"5,000";"b.1.1";"Inscripción previa"
"539";"NULL";"E.SERVICIO VICALVARO (ampliación de RE-4111)";"Madrid";"MADRID";"RE436-0418";"";"5,000";"b.1.1";"Inscripción previa"
"540";"NULL";"JUAN ANTONIO SÁNCHEZ SERRANO";"Rivas-Vaciamadrid";"MADRID";"RE-005664";"RED-130/04/b.1.1";"2,500";"b.1.1";"Inscripción definitiva"
"541";"NULL";"SFCR C.E.I.P. SANTO DOMINGO";"Algete";"MADRID";"RE-005663";"RED-007/05/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"542";"NULL";"LEGANES";"Leganés";"MADRID";"RE-005662";"RED-008/05/b.1.1";"25,000";"b.1.1";"Inscripción definitiva"
"543";"NULL";"HUGO VELA MARIONNET";"San Sebastián de los Reyes";"MADRID";"RE-005661";"RED-009/05/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"544";"NULL";"AYTO.VILLAMANTILLA-GIMNASIO MUNICIPAL (Fase nº1)";"Villamantilla";"MADRID";"RE-005660";"RE/0449/2006(RED-011/05/b.1.1)";"5,000";"b.1.1";"Inscripción definitiva"
"545";"NULL";"AYTO.VILLAMANTILLA-GIMNASIO MUNICIPAL (Fase nº2)";"Villamantilla";"MADRID";"RE-005660";"RE/0449/2006";"9,300";"b.1.1";"Inscripción definitiva"
"546";"NULL";"PAVIMARSA, S.A. (Fase nº1)";"Navas del Rey";"MADRID";"RE-005659";"RED-010/05/b.1.1";"15,000";"b.1.1";"Inscripción definitiva"
"547";"NULL";"PAVIMARSA, S.A. (Fase nº2)";"Navas del Rey";"MADRID";"RE-005659";"RE/0448/2006";"50,000";"b.1.1";"Inscripción definitiva"
"548";"NULL";"STEVE NORTHAM";"Fuente el Saz de Jarama";"MADRID";"RE-005658";"RED-012/05/b.1.1";"3,400";"b.1.1";"Inscripción definitiva"
"549";"NULL";"KYOCERA MITA ESPAÑA, S.A.";"Rozas de Madrid (Las)";"MADRID";"RE-005657";"RED-003/05/b.1.1";"27,000";"b.1.1";"Inscripción definitiva"
"550";"NULL";"ATENCIÓN PERZONALIZADA 3E, S.L.";"Móstoles";"MADRID";"RE-005656";"RED-006/05/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"551";"NULL";"MALPARTIDA, S.L.";"Navalagamella";"MADRID";"RE-005655";"RED-109/04/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"552";"NULL";"SFCR CEIP VALDERRABE";"Algete";"MADRID";"RE-005654";"RED-128/04/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"553";"NULL";"SFCR CEIP OBISPO MOSCOSO";"Algete";"MADRID";"RE-005653";"RED-129/04-b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"554";"NULL";"ALEJANDRO CARAZO RODRÍGUEZ";"Aranjuez";"MADRID";"RE-005652";"RED-120/04/b.1.1";"2,500";"b.1.1";"Inscripción definitiva"
"555";"NULL";"MERCAMADRID, S.A.";"Madrid";"MADRID";"RE-005651";"RED-119/04/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"556";"NULL";"AYUNT.SAN FERNANDO DE HENARES";"San Fernando de Henares";"MADRID";"RE-005650";"RED-118/04/b.1.1";"4,100";"b.1.1";"Inscripción definitiva"
"557";"NULL";"JACINTO GONZÁLEZ FERNÁNDEZ";"Madrid";"MADRID";"RE-005649";"RED-123/04/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"558";"NULL";"PIO CALDERERIA, S.L. (Fase nº1)";"San Martín de la Vega";"MADRID";"RE-005648";"RE/0429/2006";"30,000";"b.1.1";"Inscripción definitiva"
"559";"NULL";"PIO CALDERERIA, S.L. (Fase nº2)";"San Martín de la Vega";"MADRID";"RE-005648";"RE/0429/2006";"69,500";"b.1.1";"Inscripción definitiva"
"560";"NULL";"MARÍA DEL PILAR GONZÁLVEZ VICENTE";"Alcobendas";"MADRID";"RE-005647";"RE/0434/2006";"2,500";"b.1.1";"Inscripción definitiva"
"561";"NULL";"HOINSA";"Madrid";"MADRID";"RE-005646";"RED-125/04/b.1.1";"15,000";"b.1.1";"Inscripción definitiva"
"562";"NULL";"AYTO. TORRES DE LA ALAMEDA";"Torres de la Alameda";"MADRID";"RE-005645";"RED-124/04/b.1.1";"50,000";"b.1.1";"Inscripción definitiva"
"563";"NULL";"IBERSEÑAL";"Aranjuez";"MADRID";"RE-005644";"RED-121/04/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"564";"NULL";"Mª NIEVES GARCIA DELGADO";"Cadalso de los Vidrios";"MADRID";"RE-005643";"RED-116/04/b.1.1";"15,000";"b.1.1";"Inscripción definitiva"
"565";"NULL";"PABLO JESÚS SANZ DEL PRADO";"Arganda del Rey";"MADRID";"RE-005642";"RED-117/04/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"566";"NULL";"RES.ANC. GRAN ABOLENGO";"Griñón";"MADRID";"RE-006099";"RED-114/04/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"567";"NULL";"C.C. ""LA MOCHA CHICA""";"Villanueva de la Cañada";"MADRID";"RE-006100";"RED-112/04/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"568";"NULL";"ANA COSIN SERRANO";"Valdemorillo";"MADRID";"RE-006101";"RED-108/04/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"569";"NULL";"MEGINO, S.L.";"Pozuelo de Alarcón";"MADRID";"RE-006102";"RED-091/04/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"570";"NULL";"M.R.GOMEZ TOLEDANO A & R.INGENIEROS,SL";"Pozuelo de Alarcón";"MADRID";"RE-006103";"RED-088/04/b.1.1";"1,700";"b.1.1";"Inscripción definitiva"
"571";"NULL";"CLAVE ARQUITECTURA, S.L.";"Pozuelo de Alarcón";"MADRID";"RE-006104";"RED-089/04/b.1.1";"3,200";"b.1.1";"Inscripción definitiva"
"572";"NULL";"ALBERTO CAMPOS";"Alcalá de Henares";"MADRID";"RE-006105";"RED-092/04/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"573";"NULL";"C.R.RECUBRIMIENTOS REFU, S.L. (Fase nº1)";"Fuenlabrada";"MADRID";"RE-006106";"RED-087/04/b.1.1(RE/0394/2006)";"5,000";"b.1.1";"Inscripción definitiva"
"574";"NULL";"C.R.RECUBRIMIENTOS REFU, S.L. (Fase nº2)";"Fuenlabrada";"MADRID";"RE-006106";"RED-087/04/b.1.1(RE/0394/2006)";"15,000";"b.1.1";"Inscripción definitiva"
"575";"NULL";"AYTO ALGETE-CENTRO DE DIA";"Algete";"MADRID";"RE-006107";"RED-095/04/b.1.1";"4,100";"b.1.1";"Inscripción definitiva"
"576";"NULL";"AYTO. ALGETE-ESC.DANZA Y MUSICA";"Algete";"MADRID";"RE-006108";"RED-093/04/b.1.1";"4,100";"b.1.1";"Inscripción definitiva"
"577";"NULL";"AYTO.ALGETE-CP PADRE JERONIMO";"Algete";"MADRID";"RE-006109";"RED-097/04/b.1.1";"4,100";"b.1.1";"Inscripción definitiva"
"578";"NULL";"AYTO.ALGETE-E.MUN.USOS MULTIPLES";"Algete";"MADRID";"RE-006110";"RED-094/04/b.1.1";"4,100";"b.1.1";"Inscripción definitiva"
"579";"NULL";"AYTO.ALGETE-CASA CULTURA";"Algete";"MADRID";"RE-006111";"RED-096/04/b.1.1";"4,100";"b.1.1";"Inscripción definitiva"
"580";"NULL";"C.S. DE LA TERCERA EDAD";"Griñón";"MADRID";"RE-006112";"RED-107/04/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"581";"NULL";"TOMAS SANCHEZ BARRERA";"Torremocha de Jarama";"MADRID";"RE-006113";"RED-100/04/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"582";"NULL";"AULARIO MUNICIPAL";"Griñón";"MADRID";"RE-006114";"RED-105/04/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"583";"NULL";"VICENTE DE LA CALLE OLIVA";"Madrid";"MADRID";"RE-006115";"RED-101/04/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"584";"NULL";"FRANCISCO ANTEQUERA JAREÑO";"Galapagar";"MADRID";"RE-006116";"RED-098/04/b.1.1";"4,900";"b.1.1";"Inscripción definitiva"
"585";"NULL";"C.P.GARCILASO DE LA VEGA";"Griñón";"MADRID";"RE-006117";"RED-103/04/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"586";"NULL";"TEATRO MUNICIPAL";"Griñón";"MADRID";"RE-006118";"RED-104/04/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"587";"NULL";"SIGLA, S.A. - GRUPO VIPS";"San Sebastián de los Reyes";"MADRID";"RE-006119";"RE-083/04/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"588";"NULL";"PL.BIODIESEL-ALCALA DE HENARES";"Alcalá de Henares";"MADRID";"RE-006120";"RE-086/04/b.1.1";"1,000";"b.1.1";"Inscripción definitiva"
"589";"NULL";"CFMEX";"San Sebastián de los Reyes";"MADRID";"RE-006121";"RED-084/04/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"590";"NULL";"AYTO.RIVAS VACIAMADRID-PUNTO LIMPIO";"Rivas-Vaciamadrid";"MADRID";"RE-006122";"RED-085/04/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"591";"NULL";"ANDRES BUSTILLO GARRIDO";"Boadilla del Monte";"MADRID";"RE-006123";"RED-099/04/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"592";"NULL";"DAESPA, S.L. (Fase nº1)";"Villaviciosa de Odón";"MADRID";"RE-006453";"RED-017/05/b.1.1.";"26,400";"b.1.1";"Inscripción definitiva"
"593";"NULL";"DAESPA, S.L. (Fase nº2)";"Villaviciosa de Odón";"MADRID";"RE-006453";"RE/0455/2006";"70,000";"b.1.1";"Inscripción definitiva"
"594";"NULL";"LUIS FERNANDO CUADRADO CUADRADO";"Villaviciosa de Odón";"MADRID";"RE-006454";"RED-015/05/b.1.1.";"5,000";"b.1.1";"Inscripción definitiva"
"595";"NULL";"ELBA 27";"San Sebastián de los Reyes";"MADRID";"RE-006455";"RED-023/05/b.1.1.";"5,000";"b.1.1";"Inscripción definitiva"
"596";"NULL";"NAVALMELENDRO";"Colmenar Viejo";"MADRID";"RE-006461";"RE/0457/2006";"23,400";"b.1.1";"Inscripción definitiva"
"597";"NULL";"C.P. VICTORIA KENT";"Rivas-Vaciamadrid";"MADRID";"RE-006462";"RED-038/05/b.1.1.";"5,000";"b.1.1";"Inscripción definitiva"
"598";"NULL";"I.F.I.E.";"Rivas-Vaciamadrid";"MADRID";"RE-006463";"RED-032/05/b.1.1.";"5,000";"b.1.1";"Inscripción definitiva"
"599";"NULL";"CASA JUVENTUD CONCEJALÍA DE LA MUJER";"Rivas-Vaciamadrid";"MADRID";"RE-006464";"RED-029/05/b.1.1.";"5,000";"b.1.1";"Inscripción definitiva"
"600";"NULL";"C.P. RAFAEL ALBERTI";"Rivas-Vaciamadrid";"MADRID";"RE-006465";"RED-040/05/b.1.1.";"5,000";"b.1.1";"Inscripción definitiva"
"601";"NULL";"C.P. LOS ALMENDROS";"Rivas-Vaciamadrid";"MADRID";"RE-006466";"RED-030/05/b.1.1.";"5,000";"b.1.1";"Inscripción definitiva"
"602";"NULL";"C.P. EL PARQUE";"Rivas-Vaciamadrid";"MADRID";"RE-006467";"RED-037/05/b.1.1.";"5,000";"b.1.1";"Inscripción definitiva"
"603";"NULL";"C.P. EL OLIVAR";"Rivas-Vaciamadrid";"MADRID";"RE-006468";"RED-036/05/b.1.1.";"5,000";"b.1.1";"Inscripción definitiva"
"604";"NULL";"C.P. LA ESCUELA";"Rivas-Vaciamadrid";"MADRID";"RE-006469";"RED-033/05/b.1.1.";"5,000";"b.1.1";"Inscripción definitiva"
"605";"NULL";"C.P. LAS CIGÜEÑAS";"Rivas-Vaciamadrid";"MADRID";"RE-006470";"RED-031/05/b.1.1.";"5,000";"b.1.1";"Inscripción definitiva"
"606";"NULL";"C.P. JOSÉ SARAMAGO";"Rivas-Vaciamadrid";"MADRID";"RE-006471";"RED-039/05/b.1.1.";"5,000";"b.1.1";"Inscripción definitiva"
"607";"NULL";"C.P. MARIO BENEDETTI";"Rivas-Vaciamadrid";"MADRID";"RE-006472";"RED-035/05/b.1.1.";"5,000";"b.1.1";"Inscripción definitiva"
"608";"NULL";"C.P. JARAMA";"Rivas-Vaciamadrid";"MADRID";"RE-006473";"RED-034/05/b.1.1.";"5,000";"b.1.1";"Inscripción definitiva"
"609";"NULL";"PROGESMER, MERCADO DE ABASTOS";"Aranjuez";"MADRID";"RE-006474";"RED-045/05/b.1.1.";"25,000";"b.1.1";"Inscripción definitiva"
"610";"NULL";"JOSÉ RUIZ MARTÍN";"Humanes de Madrid";"MADRID";"RE-006475";"RED-046/05/b.1.1.";"5,000";"b.1.1";"Inscripción definitiva"
"611";"NULL";"SHU-YEI LIAO CHEN";"Collado Villalba";"MADRID";"RE-006476";"RED-049/05/b.1.1.";"4,940";"b.1.1";"Inscripción definitiva"
"612";"NULL";"ACCEMOVIL, S.A. (Fase nº1)";"Boadilla del Monte";"MADRID";"RE-006477";"RED/0485/2006 (047/05/b.1.1)";"26,400";"b.1.1";"Inscripción definitiva"
"613";"NULL";"ACCEMOVIL, S.A. (Fase nº2)";"Boadilla del Monte";"MADRID";"RE-006477";"RED/0485/2006 (047/05/b.1.1)";"70,000";"b.1.1";"Inscripción definitiva"
"614";"NULL";"CENTRAL ""EL SOTO""";"Montejo de la Sierra";"MADRID";"RE-006478";"RED-052/05/b.1.1.";"5,000";"b.1.1";"Inscripción definitiva"
"615";"NULL";"AUTOMÓVILES UGARTE, S.L.";"San Lorenzo de El Escorial";"MADRID";"RE-006479";"RED-025/05/b.1.1.";"15,000";"b.1.1";"Inscripción definitiva"
"616";"NULL";"C.E.I.P. MIRAFLORES-ALCOBENDAS";"Alcobendas";"MADRID";"RE-006480";"RED-074/05/b.1.1.";"5,000";"b.1.1";"Inscripción definitiva"
"617";"NULL";"AYUNTAMIENTO DE ALCOBENDAS";"Alcobendas";"MADRID";"RE-006481";"RED-072/05/b.1.1.";"5,000";"b.1.1";"Inscripción definitiva"
"618";"NULL";"C.E.I.P. ""CASTILLA""";"Alcobendas";"MADRID";"RE-006482";"RED-073/05/b.1.1.";"5,000";"b.1.1";"Inscripción definitiva"
"619";"NULL";"C.E.I.P. EMILIO CASADO-ALCOBENDAS";"Alcobendas";"MADRID";"RE-006483";"RED-075/05/b.1.1.";"5,000";"b.1.1";"Inscripción definitiva"
"620";"NULL";"JOSÉ ANTONIO DE CADIZ BURGOS";"Quijorna";"MADRID";"RE-006484";"RED-076/05/b.1.1.";"5,000";"b.1.1";"Inscripción definitiva"
"621";"NULL";"WILL MAN SON, S.L.";"Alcalá de Henares";"MADRID";"RE-006485";"RED-066/05/b.1.1.";"4,400";"b.1.1";"Inscripción definitiva"
"622";"NULL";"WILL MAN SON, S.L.";"Alcalá de Henares";"MADRID";"RE-006486";"RED-067/05/b.1.1.";"4,400";"b.1.1";"Inscripción definitiva"
"623";"NULL";"PECAR, S.A.";"Fuenlabrada";"MADRID";"RE-006487";"RED-063/05/b.1.1.";"5,000";"b.1.1";"Inscripción definitiva"
"624";"NULL";"ESFERA BUS, S.L.U.";"Madrid";"MADRID";"RE-006748";"RED-099/05/b.1.1.";"25,000";"b.1.1";"Inscripción definitiva"
"625";"NULL";"Mª CARMEN CALVO TASIS";"Hoyo de Manzanares";"MADRID";"RE-006749";"RED-115/04/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"626";"NULL";"TALLELEC, S.L.";"Colmenar Viejo";"MADRID";"RE-006750";"RED-001/05/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"627";"NULL";"EVAI, S.L.";"Montejo de la Sierra";"MADRID";"RE-006751";"RED-004/05/b.1.1";"30,000";"b.1.1";"Inscripción definitiva"
"628";"NULL";"EMVIALSA";"Alcobendas";"MADRID";"RE-006752";"RED-002/05/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"629";"NULL";"EUROFRIO BLASCO, S.L.";"San Fernando de Henares";"MADRID";"RE-006753";"RED-013/05/b.1.1.";"5,000";"b.1.1";"Inscripción definitiva"
"630";"NULL";"C. P. ""SALVADOR DALÍ""";"Villalbilla";"MADRID";"RE-006780";"RED-016/05/b.1.1.";"5,000";"b.1.1";"Inscripción definitiva"
"631";"NULL";"AYTO. PARACUELLOS DE JARAMA";"Paracuellos de Jarama";"MADRID";"RE-006781";"RED-018/05/b.1.1.";"30,000";"b.1.1";"Inscripción definitiva"
"632";"NULL";"NUEVA RUSTICA, SA";"San Sebastián de los Reyes";"MADRID";"RE-006782";"RED-020/05/b.1.1.";"10,000";"b.1.1";"Inscripción definitiva"
"633";"NULL";"LUIS ESCUDERO ANTÓN";"Torremocha de Jarama";"MADRID";"RE-006783";"RED-021/05/b.1.1.";"10,000";"b.1.1";"Inscripción definitiva"
"634";"NULL";"LICORES SIERRA NORTE, SL";"San Sebastián de los Reyes";"MADRID";"RE-006784";"RED-022/05/b.1.1.";"5,000";"b.1.1";"Inscripción definitiva"
"635";"NULL";"VERTEDERO DE RSU DE NUEVA RENDIJA";"San Fernando de Henares";"MADRID";"RE-006785";"RED-024/05/b.7";"1550,000";"b.7.1";"Inscripción definitiva"
